id,title,published_date,source_unit,host_college,extraction_status,mapping_basis,mapped_colleges,source_url,source_list_url
2026-statistical-modeling,2026年（第十二届）全国大学生统计建模大赛河南大学选拔赛,2026-03-31,河南大学教务处、经济学院,经济学院,full_structured_extract,official_all_majors,人工智能学院；低空技术与空天信息学院（筹）；体育学院（体委办公室）；农学院；化学与分子科学学院；医学院；历史文化学院；口腔医学院；合成生物与制药工程学院（筹）；哲学与公共管理学院；商学院；国际教育学院（丝绸之路学院）；国际（欧美）理工学院；地理科学与工程学部；基础医学院；外语学院（高级翻译学院）；大学外语教研部；建筑工程学院；护理与健康学院；教育学部；数学与统计学院；文化旅游学院；文学院；新能源与智能制造学院；新闻与传播学院／出版学院；未来技术学院；柔性电子学院；欧亚国际学院；武术学院；河南省人民医院培养单位；法学院（知识产权学院）；物理与电子学院；生命科学学院；第一临床医学院（第一附属医院）；第二临床医学院（淮河医院）；纪检监察学院；纳米科学与材料工程学院；经济学院；美术学院；药学院；计算机与信息工程学院；软件学院；阿斯顿国际学院（原迈阿密学院）；音乐学院；马克思主义学院；高级金融学院,https://jwc.henu.edu.cn/info/2357/21733.htm,
2026-mechanical-innovation,第十二届全国大学生机械创新设计大赛河南大学第四届选拔赛,2026-03-24,河南大学教务处、物理与电子学院,物理与电子学院,full_structured_extract,official_all_undergraduates_plus_discipline_relevance,人工智能学院；低空技术与空天信息学院（筹）；农学院；化学与分子科学学院；地理科学与工程学部；建筑工程学院；数学与统计学院；新能源与智能制造学院；未来技术学院；柔性电子学院；物理与电子学院；生命科学学院；纳米科学与材料工程学院；计算机与信息工程学院；软件学院,https://jwc.henu.edu.cn/info/2357/21623.htm,
2026-computer-design-4c,2026年（第19届）中国大学生计算机设计大赛河南大学第八届校级赛,2026-03-05,河南大学教务处、软件学院,软件学院,full_structured_extract,official_all_undergraduate_majors,人工智能学院；低空技术与空天信息学院（筹）；体育学院（体委办公室）；农学院；化学与分子科学学院；医学院；历史文化学院；口腔医学院；合成生物与制药工程学院（筹）；哲学与公共管理学院；商学院；国际教育学院（丝绸之路学院）；国际（欧美）理工学院；地理科学与工程学部；基础医学院；外语学院（高级翻译学院）；大学外语教研部；建筑工程学院；护理与健康学院；教育学部；数学与统计学院；文化旅游学院；文学院；新能源与智能制造学院；新闻与传播学院／出版学院；未来技术学院；柔性电子学院；欧亚国际学院；武术学院；河南省人民医院培养单位；法学院（知识产权学院）；物理与电子学院；生命科学学院；第一临床医学院（第一附属医院）；第二临床医学院（淮河医院）；纪检监察学院；纳米科学与材料工程学院；经济学院；美术学院；药学院；计算机与信息工程学院；软件学院；阿斯顿国际学院（原迈阿密学院）；音乐学院；马克思主义学院；高级金融学院,https://jwc.henu.edu.cn/info/2357/21483.htm,
2026-ccf-csp-41,第41次CCF CSP计算机软件能力认证,2026-03-04,河南大学教务处、计算机与信息工程学院,计算机与信息工程学院,full_structured_extract,official_host_plus_discipline_relevance,人工智能学院；数学与统计学院；计算机与信息工程学院；软件学院,https://jwc.henu.edu.cn/info/2357/21453.htm,
2026-graduate-os-open-source,第三届中国研究生操作系统开源创新大赛河南大学校内赛,2026-06-03,研究生院、党委研究生工作部、计算机与信息工程学院,计算机与信息工程学院,full_structured_extract,official_host_plus_discipline_relevance,人工智能学院；计算机与信息工程学院；软件学院,https://cs.henu.edu.cn/info/1018/15550.htm,
2026-teacher-skill,河南大学2026年本科师范生教学技能比赛,2026-06-30,河南大学教务处,,list_extracted,teacher_training_relevance,体育学院（体委办公室）；化学与分子科学学院；历史文化学院；地理科学与工程学部；外语学院（高级翻译学院）；教育学部；数学与统计学院；文学院；物理与电子学院；生命科学学院；美术学院；音乐学院；马克思主义学院,https://jwc.henu.edu.cn/info/2357/22373.htm,https://jwc.henu.edu.cn/
2026-intelligent-tech,第八届全国大学生智能技术应用大赛河南大学校级选拔赛,2026-06-29,河南大学教务处,,list_extracted,discipline_relevance,人工智能学院；低空技术与空天信息学院（筹）；建筑工程学院；新能源与智能制造学院；未来技术学院；柔性电子学院；物理与电子学院；纳米科学与材料工程学院；计算机与信息工程学院；软件学院,https://jwc.henu.edu.cn/info/2357/22333.htm,https://jwc.henu.edu.cn/
2026-classics,河南大学2026年中华经典诵写讲大赛,2026-06-16,河南大学教务处,,list_extracted,discipline_relevance,历史文化学院；哲学与公共管理学院；国际教育学院（丝绸之路学院）；国际（欧美）理工学院；外语学院（高级翻译学院）；教育学部；文化旅游学院；文学院；新闻与传播学院／出版学院；欧亚国际学院；法学院（知识产权学院）；纪检监察学院；美术学院；阿斯顿国际学院（原迈阿密学院）；音乐学院；马克思主义学院,https://jwc.henu.edu.cn/info/2357/22303.htm,https://jwc.henu.edu.cn/
2026-ccf-csp-42,第42次CCF CSP认证,2026-04-29,河南大学教务处,,list_extracted,discipline_relevance,人工智能学院；数学与统计学院；计算机与信息工程学院；软件学院,https://jwc.henu.edu.cn/info/2357/21993.htm,https://jwc.henu.edu.cn/tzgg.htm
2026-robot,第十二届河南省大学生机器人竞赛河南大学校赛,2026-04-20,河南大学教务处,,list_extracted,discipline_relevance,人工智能学院；低空技术与空天信息学院（筹）；建筑工程学院；新能源与智能制造学院；未来技术学院；柔性电子学院；物理与电子学院；纳米科学与材料工程学院；计算机与信息工程学院；软件学院,https://jwc.henu.edu.cn/info/2357/21923.htm,https://jwc.henu.edu.cn/tzgg.htm
2026-enterprise-simulation,2026年全国企业竞争模拟大赛河南大学校级选拔赛,2026-03-16,河南大学教务处,,list_extracted,discipline_relevance,商学院；数学与统计学院；经济学院；高级金融学院,https://jwc.henu.edu.cn/info/2357/21563.htm,https://jwc.henu.edu.cn/tzgg/32.htm
2026-physics-experiment,河南大学第八届大学生物理实验竞赛（创新）,2026-03-11,河南大学教务处,,list_extracted,discipline_relevance,化学与分子科学学院；新能源与智能制造学院；未来技术学院；柔性电子学院；物理与电子学院；纳米科学与材料工程学院,https://jwc.henu.edu.cn/info/2357/21543.htm,https://jwc.henu.edu.cn/tzgg/32.htm
